m4l_gev,channel,m_z1_gev,m_z2_gev,source_record,run,luminosityBlock,event
126.300,4mu,81.453,32.459,30555,282037,553,1003722568
126.403,4mu,65.880,54.283,30555,283548,231,182888890
126.409,4mu,80.203,40.391,30555,283876,177,223572651
126.433,4mu,92.091,19.042,30555,283548,209,142158292
126.433,4mu,92.959,18.328,30555,283876,217,285405538
126.463,4mu,64.309,38.696,30555,283820,228,386494896
126.493,4mu,105.536,12.088,30522,278923,458,768487140
126.579,4mu,92.172,20.458,30555,282037,470,855776386
126.594,4mu,91.475,24.952,30555,283876,196,255766981
126.671,4mu,89.364,23.340,30555,283884,426,404479068
126.675,4mu,92.245,25.845,30522,279667,478,758579093
126.700,4mu,86.430,16.744,30555,283453,512,759673571
126.720,4mu,88.067,16.865,30555,282735,398,800801920
126.763,2e2mu,43.987,37.082,30561,283478,600,891077353
126.828,4mu,97.690,15.578,30522,279794,616,1000564418
126.832,2e2mu,90.678,14.487,30554,282035,27,59659946
126.832,4mu,90.463,22.068,30522,279975,125,119964955
126.886,4mu,92.754,13.614,30522,279588,1203,2138567644
126.917,4mu,89.747,32.965,30555,283865,475,811701751
127.026,4mu,82.719,40.255,30522,279841,183,239665011
127.064,4mu,81.492,23.159,30555,283946,1321,2228610519
127.098,2e2mu,81.782,38.163,30555,283865,492,844415203
127.129,4mu,89.734,23.870,30555,281975,101,168133524
127.159,4mu,90.084,27.491,30555,282842,38,70212279
127.317,2e2mu,88.149,24.764,30561,281707,1060,1757438298
127.440,2e2mu,92.468,25.204,30521,279841,381,600963436
127.510,4mu,99.926,22.245,30522,279931,1194,2073938999
127.530,2e2mu,76.080,36.269,30522,278923,158,222816059
127.560,4mu,72.234,35.264,30555,283043,3,3843787
127.564,4mu,91.682,15.360,30522,279975,289,408828888
127.577,4mu,77.281,43.696,30555,283934,122,206221445
127.592,4mu,94.725,14.727,30555,281693,19,34501707
127.605,4e,64.918,38.517,30521,280385,132,243780614
127.651,2e2mu,95.040,17.808,30555,282092,781,1187868681
127.718,2e2mu,85.302,17.778,30554,283307,146,267209414
127.917,2e2mu,68.174,50.286,30555,283865,562,979273048
128.019,2e2mu,94.361,16.557,30554,284036,130,225844240
128.044,4mu,92.716,29.436,30555,283830,461,797636679
128.044,4mu,53.865,48.203,30555,282730,138,118527973
128.152,4mu,94.783,27.159,30555,283453,267,366076141
128.158,2e2mu,86.292,38.044,30554,283934,873,1495227135
128.185,4mu,80.843,42.314,30522,279794,1093,1894809063
128.208,4mu,69.744,31.339,30522,280187,56,93083964
128.365,4mu,64.360,32.811,30555,283478,358,495210027
128.424,4e,77.875,35.665,30554,283946,1275,2137919142
128.507,2e2mu,51.755,50.624,30555,283876,479,729208172
128.555,4e,93.708,30.303,30554,283453,422,619047729
128.589,2e2mu,92.676,28.669,30554,281797,1949,3264980682
128.633,2e2mu,92.093,21.123,30554,283946,269,326516733
128.819,4mu,107.297,20.637,30555,283353,567,886572291
128.894,4mu,88.137,34.806,30522,279694,372,679841563
129.057,4mu,87.582,12.504,30555,283270,1909,3241584481
129.222,4mu,95.337,20.222,30522,280194,219,348261141
129.233,4mu,67.792,38.410,30555,284035,71,109171864
129.248,4mu,88.664,31.355,30555,282731,41,81943091
129.250,4e,89.886,20.513,30554,283408,146,236901393
129.252,4mu,91.020,29.573,30522,279841,524,854206133
129.262,4mu,87.565,41.268,30522,279975,442,689285709
129.384,4mu,94.571,14.845,30522,279716,865,1583688526
129.413,2e2mu,63.363,57.860,30555,283270,238,318043231
129.464,4mu,90.545,20.017,30555,282733,26,42998014
129.536,4mu,91.127,17.321,30522,279715,641,1071088389
